Entity,Code,Year,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 25-64 - Variant: estimates,Population - Sex: all - Age: 15-24 - Variant: estimates,Population - Sex: all - Age: 5-14 - Variant: estimates,Population - Sex: all - Age: 0-4 - Variant: estimates,Population - Sex: all - Age: 65+ - Variant: estimates,Population - Sex: all - Age: 25-64 - Variant: estimates,Population - Sex: all - Age: 15-24 - Variant: estimates,Population - Sex: all - Age: 5-14 - Variant: estimates,Population - Sex: all - Age: 0-4 - Variant: estimates
Slovenia,SVN,1987,200926,1061407,295566,298760,131282,200926,1061407,295566,298760,131282
Slovenia,SVN,1988,204878,1066563,295558,297192,129251,204878,1066563,295558,297192,129251
Slovenia,SVN,1989,209259,1069729,295180,294488,126726,209259,1069729,295180,294488,126726
Slovenia,SVN,1990,213792,1075216,294272,291311,123342,213792,1075216,294272,291311,123342
Slovenia,SVN,1991,218679,1081654,292813,286454,119499,218679,1081654,292813,286454,119499
Slovenia,SVN,1992,223877,1084980,291379,281011,114521,223877,1084980,291379,281011,114521
Slovenia,SVN,1993,229609,1085199,291107,275956,108861,229609,1085199,291107,275956,108861
Slovenia,SVN,1994,235660,1086172,292345,269721,104270,235660,1086172,292345,269721,104270
Slovenia,SVN,1995,242774,1085465,295249,263118,101399,242774,1085465,295249,263118,101399
Slovenia,SVN,1996,250326,1084654,297284,255503,98921,250326,1084654,297284,255503,98921
Slovenia,SVN,1997,257295,1086946,296838,246654,96565,257295,1086946,296838,246654,96565
Slovenia,SVN,1998,263867,1087981,294767,238679,94661,263867,1087981,294767,238679,94661
Slovenia,SVN,1999,270064,1093863,292660,231680,92810,270064,1093863,292660,231680,92810
Slovenia,SVN,2000,276212,1103305,290301,225248,91629,276212,1103305,290301,225248,91629
Slovenia,SVN,2001,282517,1110905,286078,219330,90717,282517,1110905,286078,219330,90717
Slovenia,SVN,2002,288546,1118444,281529,213018,89889,288546,1118444,281529,213018,89889
Slovenia,SVN,2003,294058,1125726,277255,206014,89291,294058,1125726,277255,206014,89291
Slovenia,SVN,2004,299743,1132954,271611,199870,89213,299743,1132954,271611,199870,89213
Slovenia,SVN,2005,306001,1140929,264871,195475,89462,306001,1140929,264871,195475,89462
Slovenia,SVN,2006,312364,1149977,258453,191901,90241,312364,1149977,258453,191901,90241
Slovenia,SVN,2007,319143,1161027,252734,189083,91977,319143,1161027,252734,189083,91977
Slovenia,SVN,2008,326262,1169484,246583,186949,95603,326262,1169484,246583,186949,95603
Slovenia,SVN,2009,331915,1177407,240406,185314,100336,331915,1177407,240406,185314,100336
Slovenia,SVN,2010,334457,1187033,233833,184558,104490,334457,1187033,233833,184558,104490
Slovenia,SVN,2011,337732,1191738,226581,184502,107989,337732,1191738,226581,184502,107989
Slovenia,SVN,2012,344524,1192777,219632,185740,110371,344524,1192777,219632,185740,110371
Slovenia,SVN,2013,352374,1192007,212204,188781,110787,352374,1192007,212204,188781,110787
Slovenia,SVN,2014,360904,1188913,205588,192904,109772,360904,1188913,205588,192904,109772
Slovenia,SVN,2015,370883,1182468,200924,197040,108314,370883,1182468,200924,197040,108314
Slovenia,SVN,2016,381342,1174772,197475,201107,106386,381342,1174772,197475,201107,106386
Slovenia,SVN,2017,391639,1165901,194963,205155,104482,391639,1165901,194963,205155,104482
Slovenia,SVN,2018,402519,1160049,194453,209287,102904,402519,1160049,194453,209287,102904
Slovenia,SVN,2019,413327,1159267,195801,213206,101542,413327,1159267,195801,213206,101542
Slovenia,SVN,2020,422711,1161743,199349,217506,100754,422711,1161743,199349,217506,100754
Slovenia,SVN,2021,431426,1160205,201003,220455,99994,431426,1160205,201003,220455,99994
Slovenia,SVN,2022,441237,1154123,200075,221212,98100,441237,1154123,200075,221212,98100
Slovenia,SVN,2023,451382,1149076,201124,220396,95868,451382,1149076,201124,220396,95868
